base.title,云相册
base.no_login,您好像还没有登录哦！
base.no_permission,您好像还没有权限访哦！
base.err,抱歉，系统好像开小差了，请联系系统管理员！
base.auto_back_home,秒后自动回到主页
base.back_home,回到主页
base.filter,筛选条件
base.refresh,刷新
base.data_list,数据列表
base.search,查询
base.cancel,取消筛选
base.check_all,全选
base.sort,排列方式
base.confirm,确定
base.sure,确认
base.delete,删除
base.enable,启用
base.disable,停用
base.first_page,首页
base.last_page,尾页
base.previous_page,上一页
base.next_page,下一页
base.jump_to,跳至
base.page,页
base.each_page,每页
base.items_data,条数据
base.total,共
base.items,条
base.status,状态
base.operation,操作
base.num,序号
base.add_time,添加时间
base.edit,编辑
base.set_permission,设置权限
base.no_data,没有相关记录！
base.warn,警告
base.return,返回
base.submit,提交
base.modify,修改
base.save,保存
base.prompt,提示
base.must_message,请填写必填信息！
base.full_message,填写完整信息！
base.system_err,系统错误！
base.batch_operation_fail,批量操作失败！
base.select_data,请选择数据！


login,立即登陆
login.username,请输入用户名
login.password,请输入密码
login.no_permission,您没有权限，请联系管理员！
login.input_username,请输入用户名！
login.input_password,请输入用户密码！
login.user_not_exist,用户不存在！
login.password_wrong,用户密码错误！
login.password_rule,密码长度只能为6~64位！
logout,退出登陆



permission,权限
user.add,新增用户
user.filter.name,姓名
user.filter.phone,请输入用户手机号
user.account,用户账号
user.name,姓名
user.email,邮箱地址
user.phone,手机号码
user.last_login_time,最后登陆时间
user.user_list,用户列表
user.add_user,新增用户
user.login_password,登录密码
user.confirm_password,确认密码
user.city,所在城市
user.province,所在省份
user.remark,备注
user.account_status,账户启用状态
user.password_same,请保证密码前后一致！
user.name_exist,用户名已存在！
user.password_not_same,两次密码不一致！
user.add_success,添加用户成功！
user.edit_user,编辑用户
user.city_province_exist,城市和省份不能都为空！
user.update_success,修改用户成功！
user.name_not_exist,用户不存在！
user.correct_city,请填写正确的城市！
user.correct_province,请填写正确的省份！
user.account_set,账户设置
user.old_password,旧密码
user.new_password,新密码
user.password_not_correct,原密码不正确！
user.new_old_same,新旧密码不能相同！
user.update_account_success,修改账号信息成功，请重新登录！
user.update_permission_success,变更用户权限成功！
user.update_permission_fail,变更用户权限失败！
user.no_role_info,暂无角色信息。
user.sure_delete,确认删除用户？
user.delete_success,删除用户成功！
user.delete_fail,删除用户失败！
user.update_status_success,变更用户状态成功！
user.update_status_fail,变更用户状态失败！
user.sure_update_status,确认变更用户状态？


role,角色
role.add,新增角色
role.code,角色编码
role.name,角色名称
role.user_num,成员数量
role.remark,备注
role.status,是否启用
role.status.update.fail,角色状态变更失败，请重试！
role.status.update.success,变更角色状态成功！
role.delete.confirm,确认要删除该角色？
role.delete.success,角色已被删除！
role.delete.fail,角色删除失败！
role.role_list,角色列表
role.role_add,角色新增
role.edit,角色编辑
role.input_name,请输入角色名称
role.input_remark,请输入备注
role.role_status,角色启用状态
role.code_rule,角色编码只能包含字母、数字和下划线！
role.add_fail,添加角色失败，请重试！
role.add_success,角色添加成功！
role.input_code,请输入角色编码！
role.code_exist,角色编码已存在，请重新输入！
role.update_fail,修改角色失败，请重试！
role.update_success,角色修改成功！
role.permission_set,权限设置
role.permission_assign,权限分配
role.sure_edit_role_permission,确定修改该角色权限信息？
role.permission_assign_success,权限分配成功！
role.permission_assign_fail,权限分配失败，请重试！
role.permission_management,权限管理


version,版本
version.num,版本编号
version.update_content,更新内容
version.link,链接
version.is_force_update, 强制更新
version.is_latest_version,最新版本
version.status,发布状态
version.add,新增版本
version.version_list,版本列表
version.add_version,新增版本
version.add_success,新增版本成功
version.version_exist,版本号已存在！
version.edit_version,版本编辑
version.edit_success,版本编辑成功
version.delete.version,确认要删除该版本？
version.update.version,确认要变更该状态？
version.filter.version,请输入版本号
version.update_status_fail,变更版本状态失败！
version.update_status_success,变更版本状态成功！
version.delete.success,版本删除成功
version.delete.fail,版本删除失败


advice,反馈建议
advice.list,反馈建议列表
advice.add,添加公共建议
advice.edit,回复编辑建议
advice.category,类别
advice.app_user_cid,用户编号
advice.content,问题
advice.feedback,回复
advice.status,状态
advice.question_time,问题发布时间
advice.answer_time,问题回答时间
advice.category.public,公共类别
advice.category.person,个人类别
advice.add_success,建议添加成功
advice.edit_success,修改成功
advice.delete.advice,确认要删除该意见？
advice.edit.advice.status,确认要修改该意见状态？
advice.delete.success,意见成功删除！
advice.delete.fail,意见删除失败！
advice.update_status_fail,意见状态更新失败
advice.update_status_success,意见状态更新成功


agreement,用户协议
agreement.content,协议内容
agreement.title,协议标题
agreement.list,协议列表
agreement.add,添加协议
agreement.edit,编辑协议
agreement.add_success,协议添加成功
agreement.edit_success,协议修改成功
agreement.delete.confirm,确认删除?
agreement.delete_success,删除成功
agreement.delete_fail, 删除失败
agreement.created_at,创建时间
agreement.category,类别
agreement.category.agr,协议
agreement.category.se,隐私
